2015-06-09 10:30:49 - PHP Warning:  imagecopyresampled() expects parameter 1 to be resource, boolean given in /Applications/XAMPP/xamppfiles/htdocs/saeshop/system/library/image.php on line 99
2015-06-09 10:30:49 - PHP Notice:  Undefined index: width in /Applications/XAMPP/xamppfiles/htdocs/saeshop/catalog/controller/module/latest.php on line 32
2015-06-09 10:30:49 - PHP Notice:  Undefined index: height in /Applications/XAMPP/xamppfiles/htdocs/saeshop/catalog/controller/module/latest.php on line 32
2015-06-09 10:30:49 - PHP Warning:  imagecreatetruecolor(): Invalid image dimensions in /Applications/XAMPP/xamppfiles/htdocs/saeshop/system/library/image.php on line 86
2015-06-09 10:30:49 - PHP Warning:  imagecolorallocate() expects parameter 1 to be resource, boolean given in /Applications/XAMPP/xamppfiles/htdocs/saeshop/system/library/image.php on line 94
2015-06-09 10:30:49 - PHP Warning:  imagefilledrectangle() expects parameter 1 to be resource, boolean given in /Applications/XAMPP/xamppfiles/htdocs/saeshop/system/library/image.php on line 97
2015-06-09 10:30:49 - PHP Warning:  imagecopyresampled() expects parameter 1 to be resource, boolean given in /Applications/XAMPP/xamppfiles/htdocs/saeshop/system/library/image.php on line 99
2015-06-09 10:30:49 - PHP Notice:  Undefined index: width in /Applications/XAMPP/xamppfiles/htdocs/saeshop/catalog/controller/module/latest.php on line 32
2015-06-09 10:30:49 - PHP Notice:  Undefined index: height in /Applications/XAMPP/xamppfiles/htdocs/saeshop/catalog/controller/module/latest.php on line 32
2015-06-09 10:30:49 - PHP Warning:  imagecreatetruecolor(): Invalid image dimensions in /Applications/XAMPP/xamppfiles/htdocs/saeshop/system/library/image.php on line 86
2015-06-09 10:30:49 - PHP Warning:  imagecolorallocate() expects parameter 1 to be resource, boolean given in /Applications/XAMPP/xamppfiles/htdocs/saeshop/system/library/image.php on line 94
2015-06-09 10:30:49 - PHP Warning:  imagefilledrectangle() expects parameter 1 to be resource, boolean given in /Applications/XAMPP/xamppfiles/htdocs/saeshop/system/library/image.php on line 97
2015-06-09 10:30:49 - PHP Warning:  imagecopyresampled() expects parameter 1 to be resource, boolean given in /Applications/XAMPP/xamppfiles/htdocs/saeshop/system/library/image.php on line 99
2015-06-09 10:30:49 - PHP Notice:  Undefined index: width in /Applications/XAMPP/xamppfiles/htdocs/saeshop/catalog/controller/module/latest.php on line 32
2015-06-09 10:30:49 - PHP Notice:  Undefined index: height in /Applications/XAMPP/xamppfiles/htdocs/saeshop/catalog/controller/module/latest.php on line 32
2015-06-09 10:30:49 - PHP Warning:  imagecreatetruecolor(): Invalid image dimensions in /Applications/XAMPP/xamppfiles/htdocs/saeshop/system/library/image.php on line 86
